zip,lat,lon,city,state,precision
02143,42.38092,-71.09890,Somerville,MA,coarse
02144,42.40270,-71.12022,Somerville,MA,coarse
02145,42.39105,-71.09515,Somerville,MA,coarse
02148,42.43655,-71.08540,Malden,MA,coarse
02149,42.40740,-71.05118,Everett,MA,coarse
02150,42.37820,-71.03889,Chelsea,MA,coarse
02151,42.36630,-71.02049,Revere,MA,coarse
02152,42.37845,-70.98168,Winthrop,MA,coarse
02153,42.44640,-71.45941,Medford,MA,coarse
02155,42.42209,-71.10930,Medford,MA,coarse
02156,42.44640,-71.45941,West Medford,MA,coarse
02163,42.32532,-71.11216,Boston,MA,coarse
02169,42.24180,-71.00604,Quincy,MA,coarse
02170,42.26725,-71.01674,Quincy,MA,coarse
02171,42.28490,-71.01424,Quincy,MA,coarse
02176,42.45900,-71.05309,Melrose,MA,coarse
02177,42.44640,-71.45941,Melrose,MA,coarse
02180,42.47460,-71.09815,Stoneham,MA,coarse
02184,42.20222,-71.00519,Braintree,MA,coarse
02185,42.18005,-71.08923,Braintree,MA,coarse
02186,42.24060,-71.07849,Milton,MA,coarse
02187,42.18005,-71.08923,Milton Village,MA,coarse
02188,42.20794,-70.95514,Weymouth,MA,coarse
02189,42.21065,-70.93232,Weymouth,MA,coarse
02190,42.16784,-70.95074,Weymouth,MA,coarse
02191,42.25150,-70.94484,Weymouth,MA,coarse
02196,42.33895,-70.91963,Boston,MA,coarse
02199,42.34725,-71.08240,Boston,MA,coarse
02201,42.33895,-70.91963,Boston,MA,coarse
02202,42.36109,-71.06181,Boston,MA,coarse
02203,42.36149,-71.06036,Boston,MA,coarse
02204,42.33895,-70.91963,Boston,MA,coarse
02205,42.35033,-71.05388,Boston,MA,coarse
02206,42.33895,-70.91963,Boston,MA,coarse
02207,42.33895,-70.91963,Boston,MA,coarse
02208,42.33895,-70.91963,Boston,MA,coarse
02209,42.33895,-70.91963,Boston,MA,coarse
02210,42.34755,-71.04064,Boston,MA,coarse
02211,42.33895,-70.91963,Boston,MA,coarse
02212,42.44640,-71.45941,Boston,MA,coarse
02215,42.34508,-71.10765,Boston,MA,coarse
02216,42.33895,-70.91963,Boston,MA,coarse
02217,42.33895,-70.91963,Boston,MA,coarse
02222,42.36438,-71.06331,Boston,MA,coarse
02228,42.36000,-71.02000,East Boston,MA,coarse
02238,42.44640,-71.45941,Cambridge,MA,coarse
02239,42.44640,-71.45941,Cambridge,MA,coarse
02241,42.33895,-70.91963,Boston,MA,coarse
02266,42.33895,-70.91963,Boston,MA,coarse
02269,42.18005,-71.08923,Quincy,MA,coarse
02283,42.33895,-70.91963,Boston,MA,coarse
02284,42.33895,-70.91963,Boston,MA,coarse
02293,42.33895,-70.91963,Boston,MA,coarse
02295,42.33895,-70.91963,Boston,MA,coarse
02297,42.33895,-70.91963,Boston,MA,coarse
02298,42.38000,-71.03000,Boston,MA,coarse
02301,42.07940,-71.03999,Brockton,MA,coarse
02302,42.08475,-71.00019,Brockton,MA,coarse
02303,41.97047,-70.70136,Brockton,MA,coarse
02304,41.97047,-70.70136,Brockton,MA,coarse
02305,41.97047,-70.70136,Brockton,MA,coarse
